X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04

